Last Name,First Name,GPA,Selected Partner?,Project 1,Project 2,Project 3,Project 4,Project 6,Project 7,Project 8,Project 9,Project 10,Project 11,Project 12,Project 13,Project 14,Project 15,Project 16,Project 17,Project 18,Project 19,Project 20,Project 21,Project 22,Project 23,Project 24,Project 25,Project 26,Project 27,Project 28,Partner Last,Partner First,Partner GPA,User Major,Partner Major
last_name_83,first_name_83,2.97,1,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,2,0,0,2,0,3,1,3,0,0,3,0,partner_last_name_28,partner_first_name_28,3.92,Mechanical Engineering,Mechanical Engineering
last_name_84,first_name_84,3.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,1,4,0,4,0,2,3,4,,,,Mechanical Engineering,
last_name_85,first_name_85,3.88,0,0,5,0,2,0,2,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,,,,Mechanical Engineering,
last_name_86,first_name_86,3.58,0,0,0,3,1,0,0,3,1,3,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,0,0,1,,,,Engineering Mechanics,
last_name_87,first_name_87,3.93,1,1,0,0,0,5,0,1,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,partner_last_name_29,partner_first_name_29,3.5,Mechanical Engineering,Mechanical Engineering
last_name_88,first_name_88,3.94,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,2,2,5,2,0,2,0,0,3,0,3,,,,Mechanical Engineering,
last_name_89,first_name_89,3.22,1,0,0,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,4,2,0,0,0,4,partner_last_name_30,partner_first_name_30,3.19,Mechanical Engineering,Mechanical Engineering
last_name_90,first_name_90,3.95,0,2,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,3,3,2,0,0,0,0,0,0,3,2,,,,Mechanical Engineering,
last_name_91,first_name_91,3,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,5,5,,,,Mechanical Engineering,
last_name_92,first_name_92,2.7,1,0,0,1,5,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,5,1,0,0,0,0,partner_last_name_31,partner_first_name_31,3.13,Mechanical Engineering,Mechanical Engineering
last_name_93,first_name_93,3.8,0,3,0,0,1,3,0,0,0,2,0,2,0,0,0,2,0,0,0,3,0,3,4,0,0,2,0,0,,,,Engineering Mechanics,
last_name_94,first_name_94,3.93,0,0,0,3,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,2,1,3,,,,Engineering Mechanics,
last_name_95,first_name_95,2.52,0,1,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,,,,Mechanical Engineering,
last_name_96,first_name_96,3.51,0,0,1,0,0,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,0,1,0,0,3,0,,,,Mechanical Engineering,
last_name_97,first_name_97,3.66,0,3,0,0,3,1,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,5,5,0,0,2,0,0,,,,Engineering Mechanics,
last_name_98,first_name_98,3.9,1,0,0,1,1,0,0,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,5,4,2,0,partner_last_name_32,partner_first_name_32,3.86,Mechanical Engineering,Mechanical Engineering
last_name_99,first_name_99,3.94,1,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,5,3,partner_last_name_33,partner_first_name_33,3.85,Mechanical Engineering,Engineering Mechanics
